Calibration metrics:
x386: Cal. error 0.3470, RMSE 0.1113, R2 0.5708
x387: Cal. error 0.3380, RMSE 0.1114, R2 0.5969
x388: Cal. error 0.3180, RMSE 0.1099, R2 0.6310
x389: Cal. error 0.2860, RMSE 0.1075, R2 0.6893
x390: Cal. error 0.2640, RMSE 0.1059, R2 0.7224
x391: Cal. error 0.2590, RMSE 0.1084, R2 0.7304
x392: Cal. error 0.2350, RMSE 0.1115, R2 0.7339
x393: Cal. error 0.2460, RMSE 0.1066, R2 0.7292
x394: Cal. error 0.2510, RMSE 0.1014, R2 0.7224
x395: Cal. error 0.2930, RMSE 0.0990, R2 0.7094
x396: Cal. error 0.3210, RMSE 0.1021, R2 0.6786
x397: Cal. error 0.3160, RMSE 0.1085, R2 0.6479
x398: Cal. error 0.3190, RMSE 0.1093, R2 0.6229
x399: Cal. error 0.2880, RMSE 0.1135, R2 0.6043
x400: Cal. error 0.2960, RMSE 0.1211, R2 0.6003
x401: Cal. error 0.3010, RMSE 0.1256, R2 0.6135
x402: Cal. error 0.2930, RMSE 0.1257, R2 0.6054
x403: Cal. error 0.3160, RMSE 0.1236, R2 0.5748
x404: Cal. error 0.3270, RMSE 0.1238, R2 0.5331
x405: Cal. error 0.3440, RMSE 0.1236, R2 0.5146
x406: Cal. error 0.3620, RMSE 0.1280, R2 0.5089
x407: Cal. error 0.3540, RMSE 0.1300, R2 0.4905
x408: Cal. error 0.3240, RMSE 0.1362, R2 0.4530
x409: Cal. error 0.3360, RMSE 0.1431, R2 0.4134
x410: Cal. error 0.3280, RMSE 0.1486, R2 0.4088
x411: Cal. error 0.3540, RMSE 0.1530, R2 0.4080
x412: Cal. error 0.3590, RMSE 0.1487, R2 0.4202
x413: Cal. error 0.3620, RMSE 0.1402, R2 0.4355
x414: Cal. error 0.3300, RMSE 0.1337, R2 0.4727
x415: Cal. error 0.3140, RMSE 0.1227, R2 0.5117
x416: Cal. error 0.3090, RMSE 0.1038, R2 0.5337
x417: Cal. error 0.3240, RMSE 0.0980, R2 0.5405
x418: Cal. error 0.3400, RMSE 0.0965, R2 0.5406
x419: Cal. error 0.3550, RMSE 0.0969, R2 0.5573
x420: Cal. error 0.3590, RMSE 0.0990, R2 0.5782
x421: Cal. error 0.3310, RMSE 0.1069, R2 0.5978
x422: Cal. error 0.3580, RMSE 0.1121, R2 0.6100
x423: Cal. error 0.3410, RMSE 0.1173, R2 0.6136
x424: Cal. error 0.3420, RMSE 0.1184, R2 0.6102
x425: Cal. error 0.3440, RMSE 0.1066, R2 0.6093
x426: Cal. error 0.3370, RMSE 0.1021, R2 0.5923
x427: Cal. error 0.3810, RMSE 0.1013, R2 0.5882
x428: Cal. error 0.3590, RMSE 0.1026, R2 0.5896
x429: Cal. error 0.3440, RMSE 0.1054, R2 0.6031
